Seq 0 , 2.00
Seq 1 , 3.00
Seq 2 , 32.00
Seq 3 , 3.00
Seq 4 , 4.00
Seq 0 , 4.00
Seq 1 , 7.00
Seq 2 , 4.00
Seq 3 , 6.00
Seq 4 , 8.00
Seq 0 , 2.00, Time Mon Mar  7 16:42:58 2016

Seq 1 , 10.00, Time Mon Mar  7 16:42:59 2016

Seq 2 , 29.00, Time Mon Mar  7 16:43:00 2016

Seq 3 , 5.00, Time Mon Mar  7 16:43:01 2016

Seq 4 , 4.00, Time Mon Mar  7 16:43:02 2016

Seq 0 , 2.00ms, Time Mon Mar  7 16:43:47 2016

Seq 1 , 4.00ms, Time Mon Mar  7 16:43:48 2016

Seq 2 , 5.00ms, Time Mon Mar  7 16:43:49 2016

Seq 3 , 8.00ms, Time Mon Mar  7 16:43:50 2016

Seq 4 , 6.00ms, Time Mon Mar  7 16:43:51 2016

Seq 0 , 8.13ms, Time Mon Mar  7 16:44:33 2016

Seq 1 , 8.99ms, Time Mon Mar  7 16:44:34 2016

Seq 0 , 2.02ms, Time Mon Mar  7 09:56:21 2016

Seq 1 , 1.95ms, Time Mon Mar  7 09:56:22 2016

Seq 2 , 2.05ms, Time Mon Mar  7 09:56:23 2016

Seq 3 , 1.90ms, Time Mon Mar  7 09:56:24 2016

Seq 4 , 1.98ms, Time Mon Mar  7 09:56:25 2016

Seq 5 , 2.05ms, Time Mon Mar  7 09:56:26 2016

Seq 6 , 1.91ms, Time Mon Mar  7 09:56:27 2016

Seq 7 , 1.99ms, Time Mon Mar  7 09:56:28 2016

Seq 8 , 2.21ms, Time Mon Mar  7 09:56:29 2016

Seq 9 , 1.92ms, Time Mon Mar  7 09:56:30 2016

Seq 10 , 1.31ms, Time Mon Mar  7 09:56:31 2016

Seq 11 , 1.30ms, Time Mon Mar  7 09:56:32 2016

Seq 12 , 1.25ms, Time Mon Mar  7 09:56:33 2016

Seq 13 , 1.25ms, Time Mon Mar  7 09:56:34 2016

Seq 14 , 1.23ms, Time Mon Mar  7 09:56:35 2016

Seq 15 , 1.23ms, Time Mon Mar  7 09:56:36 2016

Seq 16 , 1.23ms, Time Mon Mar  7 09:56:37 2016

Seq 17 , 1.45ms, Time Mon Mar  7 09:56:38 2016

Seq 18 , 1.23ms, Time Mon Mar  7 09:56:39 2016

Seq 19 , 1.27ms, Time Mon Mar  7 09:56:40 2016

Seq 20 , 1.25ms, Time Mon Mar  7 09:56:41 2016

Seq 21 , 1.24ms, Time Mon Mar  7 09:56:42 2016

Seq 22 , 1.22ms, Time Mon Mar  7 09:56:43 2016

Seq 23 , 1.55ms, Time Mon Mar  7 09:56:44 2016

Seq 24 , 1.29ms, Time Mon Mar  7 09:56:45 2016

Seq 25 , 1.26ms, Time Mon Mar  7 09:56:46 2016

Seq 26 , 1.24ms, Time Mon Mar  7 09:56:47 2016

Seq 27 , 1.25ms, Time Mon Mar  7 09:56:48 2016

Seq 28 , 1.24ms, Time Mon Mar  7 09:56:49 2016

Seq 29 , 1.44ms, Time Mon Mar  7 09:56:50 2016

Seq 30 , 1.32ms, Time Mon Mar  7 09:56:51 2016

Seq 31 , 1.29ms, Time Mon Mar  7 09:56:52 2016

Seq 32 , 1.23ms, Time Mon Mar  7 09:56:53 2016

Seq 33 , 1.25ms, Time Mon Mar  7 09:56:54 2016

Seq 34 , 1.23ms, Time Mon Mar  7 09:56:55 2016

Seq 35 , 1.54ms, Time Mon Mar  7 09:56:56 2016

Seq 36 , 1.30ms, Time Mon Mar  7 09:56:57 2016

Seq 37 , 1.24ms, Time Mon Mar  7 09:56:58 2016

Seq 38 , 1.37ms, Time Mon Mar  7 09:56:59 2016

Seq 39 , 1.23ms, Time Mon Mar  7 09:57:00 2016

Seq 40 , 1.24ms, Time Mon Mar  7 09:57:01 2016

Seq 41 , 1.22ms, Time Mon Mar  7 09:57:02 2016

Seq 42 , 1.23ms, Time Mon Mar  7 09:57:03 2016

Seq 43 , 1.21ms, Time Mon Mar  7 09:57:04 2016

Seq 44 , 1.29ms, Time Mon Mar  7 09:57:05 2016

Seq 45 , 1.25ms, Time Mon Mar  7 09:57:06 2016

Seq 46 , 1.23ms, Time Mon Mar  7 09:57:07 2016

Seq 47 , 1.47ms, Time Mon Mar  7 09:57:08 2016

Seq 48 , 1.32ms, Time Mon Mar  7 09:57:09 2016

Seq 49 , 1.28ms, Time Mon Mar  7 09:57:10 2016

Seq 50 , 1.23ms, Time Mon Mar  7 09:57:11 2016

Seq 51 , 1.39ms, Time Mon Mar  7 09:57:12 2016

Seq 52 , 1.20ms, Time Mon Mar  7 09:57:13 2016

Seq 53 , 1.46ms, Time Mon Mar  7 09:57:14 2016

Seq 54 , 1.21ms, Time Mon Mar  7 09:57:15 2016

Seq 55 , 1.21ms, Time Mon Mar  7 09:57:16 2016

Seq 56 , 1.23ms, Time Mon Mar  7 09:57:17 2016

Seq 57 , 1.28ms, Time Mon Mar  7 09:57:18 2016

Seq 58 , 1.25ms, Time Mon Mar  7 09:57:19 2016

Seq 59 , 1.28ms, Time Mon Mar  7 09:57:20 2016

Seq 60 , 1.25ms, Time Mon Mar  7 09:57:21 2016

Seq 61 , 1.27ms, Time Mon Mar  7 09:57:22 2016

Seq 62 , 1.24ms, Time Mon Mar  7 09:57:23 2016

Seq 63 , 1.27ms, Time Mon Mar  7 09:57:24 2016

Seq 64 , 1.30ms, Time Mon Mar  7 09:57:25 2016

Seq 65 , 1.51ms, Time Mon Mar  7 09:57:26 2016

Seq 66 , 1.27ms, Time Mon Mar  7 09:57:27 2016

Seq 67 , 1.25ms, Time Mon Mar  7 09:57:28 2016

Seq 68 , 1.29ms, Time Mon Mar  7 09:57:29 2016

Seq 69 , 1.31ms, Time Mon Mar  7 09:57:30 2016

Seq 70 , 1.26ms, Time Mon Mar  7 09:57:31 2016

Seq 71 , 1.30ms, Time Mon Mar  7 09:57:32 2016

Seq 72 , 1.29ms, Time Mon Mar  7 09:57:33 2016

Seq 73 , 1.23ms, Time Mon Mar  7 09:57:34 2016

Seq 74 , 1.24ms, Time Mon Mar  7 09:57:35 2016

Seq 75 , 1.20ms, Time Mon Mar  7 09:57:36 2016

Seq 76 , 1.24ms, Time Mon Mar  7 09:57:37 2016

Seq 77 , 1.43ms, Time Mon Mar  7 09:57:38 2016

Seq 78 , 1.21ms, Time Mon Mar  7 09:57:39 2016

Seq 79 , 1.35ms, Time Mon Mar  7 09:57:40 2016

Seq 80 , 1.22ms, Time Mon Mar  7 09:57:41 2016

Seq 81 , 1.20ms, Time Mon Mar  7 09:57:42 2016

Seq 82 , 1.20ms, Time Mon Mar  7 09:57:43 2016

Seq 83 , 1.47ms, Time Mon Mar  7 09:57:44 2016

Seq 84 , 1.31ms, Time Mon Mar  7 09:57:45 2016

Seq 85 , 1.25ms, Time Mon Mar  7 09:57:46 2016

